id,category,cats,n_parcels,lat,lon,units,address,on_arterial,d_commercial,corridor_200,corridor_300,corridor_400
73,apartment,apartment,1,41.89672021,-87.77608722,,16 IOWA ST,0,648.9,0,0,0
74,apartment,apartment,1,41.89821909,-87.77567689,,948 N AUSTIN BLVD,1,1198.8,1,1,1
75,apartment,apartment,1,41.89768412,-87.77557047,,930 N AUSTIN BLVD,1,1008.3,1,1,1
76,apartment,apartment,1,41.89752868,-87.77551922,,928 N AUSTIN BLVD,1,954.2,1,1,1
77,apartment,apartment,1,41.89738199,-87.77554234,,924 N AUSTIN BLVD,1,900.5,1,1,1
78,apartment,apartment,1,41.89665946,-87.77592297,,900 N AUSTIN BLVD,1,627.7,1,1,1
79,apartment,apartment,1,41.89531266,-87.78366442,,519 N CUYLER AVE,0,278.4,0,1,1
80,apartment,apartment,1,41.89475503,-87.78383904,,310 CHICAGO AVE,1,222.5,1,1,1
81,apartment,apartment,1,41.89483522,-87.78407044,,318 CHICAGO AVE,1,160.3,1,1,1
82,apartment,apartment,1,41.89524845,-87.78293177,,516 N CUYLER AVE 2,0,183.4,1,1,1
83,apartment,apartment,1,41.89553231,-87.78203835,,525 N HARVEY AVE 2,0,211.5,0,1,1
84,apartment,apartment,1,41.89538628,-87.78200148,,521 N HARVEY AVE,0,158.4,1,1,1
85,apartment,apartment,1,41.8950646,-87.78308006,,508 N CUYLER AVE,1,119.6,1,1,1
86,apartment,apartment,1,41.89608401,-87.7813618,,540 N HARVEY AVE,0,437.7,0,0,0
87,apartment,apartment,1,41.89585948,-87.78038182,,531 N LOMBARD AVE,0,524.7,0,0,0
88,apartment,apartment+townhome,2,41.89529365,-87.7803729,1,515 N LOMBARD AVE,0,434.8,0,0,0
89,apartment,apartment,1,41.89487238,-87.78092426,,216 CHICAGO AVE,1,271.4,1,1,1
90,apartment,apartment,1,41.89480064,-87.78080101,,214 CHICAGO AVE,1,308.3,1,1,1
91,apartment,apartment,1,41.89480496,-87.78025636,,202 CHICAGO AVE,1,398.7,1,1,1
92,apartment,apartment,1,41.89580206,-87.77969191,,532 N LOMBARD AVE,0,372.6,0,0,1
93,apartment,apartment,1,41.89563131,-87.77969338,,526 N LOMBARD AVE,0,327.5,0,0,1
94,apartment,apartment,1,41.89552815,-87.77969427,,524 N LOMBARD AVE,0,303.2,0,0,1
95,apartment,apartment,1,41.89482884,-87.77926677,,116 CHICAGO AVE,1,140.5,1,1,1
96,apartment,apartment,1,41.89482838,-87.77917148,,114 CHICAGO AVE,1,118.7,1,1,1
97,apartment,apartment,1,41.89482794,-87.77908096,,112 CHICAGO AVE,1,99.7,1,1,1
98,apartment,apartment,1,41.89482744,-87.77897615,,110 CHICAGO AVE,1,81.5,1,1,1
99,apartment,apartment,1,41.89484573,-87.77981927,,130 CHICAGO AVE,1,279.7,1,1,1
100,apartment,apartment,1,41.89483469,-87.77974314,,128 CHICAGO AVE,1,260.6,1,1,1
101,apartment,apartment,1,41.89513545,-87.77867335,,511 N TAYLOR AVE,1,57.8,1,1,1
102,apartment,apartment,1,41.89615005,-87.77809284,,538 N TAYLOR AVE,0,416.8,0,0,0
103,apartment,apartment,1,41.89602209,-87.77810824,,536 N TAYLOR AVE,0,370.7,0,0,1
104,apartment,apartment,1,41.8958726,-87.77809047,,530 N TAYLOR AVE,0,316.0,0,0,1
105,apartment,apartment,1,41.89574107,-87.77811067,,528 N TAYLOR AVE,0,269.0,0,1,1
106,apartment,apartment,1,41.89533541,-87.77808559,,516 N TAYLOR AVE,1,122.2,1,1,1
107,apartment,apartment,1,41.89634258,-87.77740013,,545 N HUMPHREY AVE,0,497.5,0,0,0
108,apartment,apartment,1,41.8960244,-87.7771172,,537 N HUMPHREY AVE,0,375.5,0,0,1
109,apartment,apartment,1,41.89561169,-87.77710648,,525 N HUMPHREY AVE,0,225.3,0,1,1
110,apartment,apartment,1,41.89541939,-87.77706527,,519 N HUMPHREY AVE,0,155.8,1,1,1
111,apartment,apartment,1,41.89534825,-87.77706589,,517 N HUMPHREY AVE,1,130.0,1,1,1
112,apartment,apartment,1,41.89528438,-87.7770998,,515 N HUMPHREY AVE,1,106.2,1,1,1
113,apartment,apartment,1,41.89492809,-87.7776824,,56 CHICAGO AVE,1,87.8,1,1,1
114,apartment,apartment,1,41.89491327,-87.77758899,,50 CHICAGO AVE,1,113.5,1,1,1
115,apartment,apartment,1,41.89491251,-87.77743177,,48 CHICAGO AVE,1,91.5,1,1,1
116,apartment,apartment,1,41.89566546,-87.77646804,,526 N HUMPHREY AVE,0,287.5,0,1,1
