pin,class,lat,lon,address
16184130450000,211,41.86951232,-87.78441108,1035 S RIDGELAND AVE
16184130610000,211,41.87114777,-87.78520662,938 S ELMWOOD AVE
16184140010000,211,41.86867671,-87.79356317,1100 S OAK PARK AVE
16184140020000,211,41.86857411,-87.79358165,1104 S OAK PARK AVE
16184140030000,211,41.86847138,-87.79357194,1106 S OAK PARK AVE
16184140040000,211,41.86836598,-87.7935552,1110 S OAK PARK AVE
16184140050000,211,41.86826594,-87.79355957,1112 S OAK PARK AVE
16184140060000,211,41.86815798,-87.79355695,1116 S OAK PARK AVE
16184140070000,211,41.86805787,-87.79354722,1118 S OAK PARK AVE
16184140080000,211,41.86794464,-87.79354465,1122 S OAK PARK AVE
16184140090000,211,41.86785246,-87.79353837,1124 S OAK PARK AVE
16184140110000,211,41.86763652,-87.79353314,1130 S OAK PARK AVE
16184140120000,211,41.86754169,-87.79352336,1134 S OAK PARK AVE
16184140130000,211,41.8674627,-87.79352403,1136 S OAK PARK AVE
16184170340000,211,41.86723191,-87.78918937,1145 S EAST AVE
16184170360000,211,41.86872884,-87.78970145,613 HARVARD ST
16184180020000,211,41.86865929,-87.78871139,1104 S EAST AVE
16184180030000,211,41.86856055,-87.7887009,1106 S EAST AVE
16184180040000,211,41.86846175,-87.78867908,1110 S EAST AVE
16184180080000,211,41.86801076,-87.78871689,1122 S EAST AVE
16184190360000,211,41.86728442,-87.7869673,510 FILLMORE ST
16184210160000,211,41.86761195,-87.78500682,1136 S ELMWOOD AVE
16184220050000,315,41.86656059,-87.79332902,1160 S OAK PARK AVE
16184220060000,315,41.86641986,-87.79351822,1164 S OAK PARK AVE
16184220070000,315,41.86625783,-87.79332686,1170 S OAK PARK AVE
16184220080000,315,41.86609506,-87.79330605,1174 S OAK PARK AVE
16184220090000,211,41.86595787,-87.79348876,1176 S OAK PARK AVE
16184220100000,211,41.8658737,-87.79350709,1180 S OAK PARK AVE
16184220110000,211,41.86578943,-87.79350428,1182 S OAK PARK AVE
16184220120000,211,41.86570252,-87.79350148,1184 S OAK PARK AVE
16184240200000,211,41.86657861,-87.79038637,1161 CLARENCE AVE 2
16184240360000,212,41.86543938,-87.79071538,6636 ROOSEVELT RD
16184250390000,212,41.8653556,-87.78902676,6600 ROOSEVELT RD
16184260420000,211,41.86687333,-87.78797424,1153 S SCOVILLE AVE
16184270300000,211,41.8661395,-87.78668813,1175 GUNDERSON AVE
